Product Code,Item Code,Product Name,Category,Sub Category,Description,Unit Price,Unit Cost,Stock WH1,Stock WH2,Balagtas,Selling Tag
PBG712,RBM-072,Making a Difference (12),Pizza Box,Generic Pizza Box,MAKING A DIFFERENCE 12.5 x 12.5 x 1.5 inches ,12.6,7,1000,,,
PBG714,RBM-073,Making a Difference (14),Pizza Box,Generic Pizza Box,MAKING A DIFFERENCE 14 x 14 x 1.5 inches ,16.28,9.45,225,,,
PBG808,RBM-074,Super Delicious Pizza (8),Pizza Box,Generic Pizza Box,SUPER DELICIOUS 8 x 8 x 1.5 inches ,9.5,4.25,825,,,
PBG810,RBM-075,Super Delicious Pizza (10),Pizza Box,Generic Pizza Box,SUPER DELICIOUS 10 x 10 x 1.5 inches,10.5,5.5,"3,950",,,
PBG811,RBM-076,Super Delicious Pizza (11),Pizza Box,Generic Pizza Box,SUPER DELICIOUS 11 x 11 x 1.5 inches ,11.55,6.25,"3,600",,,
PBG812,RBM-077,Super Delicious Pizza (12),Pizza Box,Generic Pizza Box,SUPER DELICIOUS 12 x 12 x 1.5 inches ,12.6,7,"4,025",,,
PBG814,RBM-078,Super Delicious Pizza (14),Pizza Box,Generic Pizza Box,SUPER DELICIOUS 14 x 14 x 1.5 inches ,12.6,9.45,"4,025",,,
PBG910,RBM-121,Taste of Greatness (10),Pizza Box,Generic Pizza Box,"TASTE OF GREATNESS - 10.5 x 10.5 x 1.5""",10.5,5.5,"3,775",,,
PBG912,RBM-122,Taste of Greatness (12),Pizza Box,Generic Pizza Box,"TASTE OF GREATNESS - 12.5 x 12.5 x 1.5""",12.6,7,"4,450",,,
PBGH01,,Holiday Pizza Box (Old)(14),Pizza Box,Generic Pizza Box,,16.28,11.45,"6,075",,,
PBC110,,Black Clay Coat Pizza Box (10),Pizza Box,Claycoat Pizza Box," CLAYCOATED CAL.18-10 X 10 X 1.5 "" HOMEMADE (BLACK)",9.98,6,"3,250",,,
PBC111,,Black Clay Coat Pizza Box (11),Pizza Box,Claycoat Pizza Box," CLAYCOATED CAL.18-11 X 11 X 1.5 "" HOMEMADE (BLACK)",11.5,7,1000,,,
PBC112,,Black Clay Coat Pizza Box (12),Pizza Box,Claycoat Pizza Box," CLAYCOATED CAL.18-12 X 12 X 1.5 "" HOMEMADE (BLACK)",12.08,7.5,"11,800",,,
PBC210,,Red Clay Coat Pizza Box (10),Pizza Box,Claycoat Pizza Box,"CLAYCOATED CAL.18-10 X 10 X 1.5""PERFECT FOR SHARING (RED)",9.98,6,1000,,,
PBC211,,Red Clay Coat Pizza Box (11),Pizza Box,Claycoat Pizza Box,"CLAYCOATED CAL.18-11 X 11 X 1.5""PERFECT FOR SHARING (RED)",11.5,7,1000,,,
PBC212,,Red Clay Coat Pizza Box (12),Pizza Box,Claycoat Pizza Box,"CLAYCOATED CAL.18-12 X 12 X 1.5""PERFECT FOR SHARING (RED)",12.08,7.5,"6,900",,,
PBC310,,Green Clay Coat Pizza Box (10),Pizza Box,Claycoat Pizza Box,"CLAYCOATED CAL.18-10 X 10 X 1.5"" SUPER DELICIOUS BEST PIZZA (GREEN)",9.98,6,1000,,,
PBC311,,Green Clay Coat Pizza Box (11),Pizza Box,Claycoat Pizza Box,"CLAYCOATED CAL.18-11 X 11 X 1.5"" SUPER DELICIOUS BEST PIZZA (GREEN)",11.5,7,1000,,,
PBC312,,Green Clay Coat Pizza Box (12),Pizza Box,Claycoat Pizza Box,"CLAYCOATED CAL.18-12 X 12 X 1.5"" SUPER DELICIOUS BEST PIZZA (GREEN)",12.08,7.5,"8,850",,,
PPBW10,RBM-052,(10) Plain White Pizza Box,Pizza Box,Plain Pizza Box,PLAIN WHITE 10.5 x 10.5 x 1.5 inches ,10.5,6.35,"2,125",,,
